customer_id,Car_id,Purchase_Date,Customer_Name,Customer_Gender,Customer_Country,Customer_City,Customer_Age,Customer_Annual_Income,Company,Body_Style_Model,Engine,Transmission,Color,year_of_model,Price
1121,HUN-MID-815,11/01/2020,Bader Al-Kandari,MALE,United Arab Emirates,Umm Al Quwain,37,60248,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Red,2020,21100
1122,HUN-MID-816,11/01/2020,Nasser Al-Harbi,MALE,Oman,Sur,45,121084,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,White,2020,12800
1123,HUN-MID-814,11/01/2020,Faisal Al-Rashid,MALE,United Arab Emirates,Abu Dhabi,43,484132,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Grey,2020,62300
1124,HUN-MID-813,12/01/2020,Abdulaziz Al-Saud,MALE,Oman,Sohar,41,197368,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1125,HUN-MID-812,12/01/2020,Youssef El-Fassi,MALE,United Arab Emirates,Ajman,47,392124,hyundai,SEDAN i30,Overhead Camshaft,Auto,Black,2020,25100
1126,HUN-MID-811,12/01/2020,Omar Al-Tamimi,MALE,Oman,Muscat,39,464591,hyundai,SEDAN i20,Overhead Camshaft,Auto,White,2020,24500
1127,HUN-MID-819,12/01/2020,Turki Al-Otaibi,MALE,United Arab Emirates,Abu Dhabi,43,336202,hyundai,SUV CRETA,Overhead Camshaft,Auto,Grey,2020,45300
1128,HUN-MID-819,12/01/2020,Dana Al-Rumaithi,FEMALE,Saudi Arabia,Riyadh,36,337603,hyundai,SUV CRETA,Overhead Camshaft,Auto,Red,2020,45300
1129,HUN-MID-817,12/01/2020,Aisha Al-Busaidi,FEMALE,Kuwait,Kuwait City,36,412217,hyundai,SUV KONA,Overhead Camshaft,Auto,Black,2020,25000
1130,HUN-MID-816,12/01/2020,Zineb Al-Haddad,FEMALE,Algeria,Blida,39,396612,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Blue,2020,12800
1131,HUN-MID-819,12/01/2020,Ahmed Al-Maawali,MALE,Morocco,Casablanca,53,400751,hyundai,SUV CRETA,Overhead Camshaft,Auto,White,2020,45300
1132,HUN-MID-810,12/01/2020,Youssef El-Karim,MALE,Morocco,Rabat,47,272450,hyundai,SEDAN i10,Overhead Camshaft,Auto,White,2020,23100
1133,HUN-MID-811,12/01/2020,Muna Al-Lawati,FEMALE,Kuwait,Fahaheel,41,214637,hyundai,SEDAN i20,Overhead Camshaft,Auto,Red,2020,24500
1134,HUN-MID-815,12/01/2020,Karim Ben Salah,MALE,Jordan,Aqaba,43,103881,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Blue,2020,21100
1135,HUN-MID-818,12/01/2020,Dina Al-Zoubi,FEMALE,Saudi Arabia,Jeddah,46,78499,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1136,HUN-MID-810,12/01/2020,Sultan Al-Dosari,MALE,Algeria,Blida,46,430500,hyundai,SEDAN i10,Overhead Camshaft,Auto,Black,2020,23100
1137,HUN-MID-819,13/01/2020,Nadia Benmoussa,FEMALE,Qatar,Doha,55,69063,hyundai,SUV CRETA,Overhead Camshaft,Auto,Grey,2020,45300
1138,HUN-MID-811,13/01/2020,Jassim Al-Kuwari,MALE,Algeria,Batna,45,360084,hyundai,SEDAN i20,Overhead Camshaft,Auto,Red,2020,24500
1139,HUN-MID-815,13/01/2020,Firas Al-Khasawneh,MALE,United Arab Emirates,Ajman,37,432339,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,White,2020,21100
1140,HUN-MID-816,13/01/2020,Ziad Al-Masri,MALE,Morocco,Tangier,50,191377,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Black,2020,12800
1141,HUN-MID-817,13/01/2020,Salma Al-Zadjali,FEMALE,Tunisia,Bizerte,36,379424,hyundai,SUV KONA,Overhead Camshaft,Auto,White,2020,25000
1142,HUN-MID-816,13/01/2020,Aisha Al-Busaidi,FEMALE,Saudi Arabia,Jeddah,36,397866,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,White,2020,12800
1143,HUN-MID-815,13/01/2020,Khalaf Al-Enezi,MALE,Kuwait,Farwaniya,47,347091,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1144,HUN-MID-813,13/01/2020,Mubarak Al-Rashidi,MALE,Kuwait,Salmiya,38,436292,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1145,HUN-MID-819,13/01/2020,Abdulaziz Al-Saud,MALE,Oman,Ibri,41,274269,hyundai,SUV CRETA,Overhead Camshaft,Auto,Red,2020,45300
1146,HUN-MID-814,13/01/2020,Jaber Al-Marri,MALE,Oman,Muscat,49,261158,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,White,2020,62300
1147,HUN-MID-812,13/01/2020,Faisal Al-Dosari,MALE,Kuwait,Salmiya,44,292465,hyundai,SEDAN i30,Overhead Camshaft,Auto,Black,2020,25100
1148,HUN-MID-812,13/01/2020,Majed Al-Sulaiti,MALE,Qatar,Dukhan,45,269646,hyundai,SEDAN i30,Overhead Camshaft,Auto,Blue,2020,25100
1149,HUN-MID-818,13/01/2020,Laith Al-Najjar,MALE,Jordan,Aqaba,39,419543,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Blue,2020,60350
1150,HUN-MID-813,14/01/2020,Saeed Al-Kuwari,MALE,Bahrain,Muharraq,49,371573,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Grey,2020,25000
1151,HUN-MID-811,14/01/2020,Mariam Al-Nuaimi,FEMALE,Algeria,Annaba,38,286633,hyundai,SEDAN i20,Overhead Camshaft,Auto,Blue,2020,24500
1152,HUN-MID-819,14/01/2020,Nadia Bouzid,FEMALE,Qatar,Al Wakrah,55,391414,hyundai,SUV CRETA,Overhead Camshaft,Auto,Black,2020,45300
1153,HUN-MID-816,14/01/2020,Layla Al-Najjar,FEMALE,Algeria,Constantine,39,314640,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Blue,2020,12800
1154,HUN-MID-817,14/01/2020,Omar Al-Hadidi,MALE,United Arab Emirates,Dubai,39,321179,hyundai,SUV KONA,Overhead Camshaft,Auto,Black,2020,25000
1155,HUN-MID-815,15/01/2020,Talal Al-Mutairi,MALE,Tunisia,Sousse,45,419713,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Blue,2020,21100
1156,HUN-MID-817,15/01/2020,Buthaina Al-Raisi,FEMALE,Tunisia,Sousse,49,78497,hyundai,SUV KONA,Overhead Camshaft,Auto,Black,2020,25000
1157,HUN-MID-814,15/01/2020,Yousef Al-Kandari,MALE,Bahrain,Riffa,37,103013,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Grey,2020,62300
1158,HUN-MID-813,15/01/2020,Khalid Al-Qahtani,MALE,Saudi Arabia,Medina,54,492785,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1159,HUN-MID-813,17/01/2020,Sultan Al-Rashid,MALE,Jordan,Zarqa,55,85425,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Grey,2020,25000
1160,HUN-MID-811,17/01/2020,Salem Al-Mazrouei,MALE,Tunisia,Tunis,40,185921,hyundai,SEDAN i20,Overhead Camshaft,Auto,Blue,2020,24500
1161,HUN-MID-814,17/01/2020,Hassan Al-Falasi,MALE,Saudi Arabia,Mecca,49,205859,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Grey,2020,62300
1162,HUN-MID-810,17/01/2020,Amani Al-Rashid,FEMALE,Oman,Salalah,44,307861,hyundai,SEDAN i10,Overhead Camshaft,Auto,Black,2020,23100
1163,HUN-MID-812,21/01/2020,Adel Tarek,MALE,Egypt,Giza,45,211245,hyundai,SEDAN i30,Overhead Camshaft,Auto,White,2020,25100
1164,HUN-MID-810,24/01/2020,Faisal Al-Faisal,MALE,Morocco,Casablanca,39,372623,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1165,HUN-MID-810,24/01/2020,Yousef Al-Mutairi,MALE,United Arab Emirates,Ajman,35,430815,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1166,HUN-MID-817,24/01/2020,Bader Al-Kandari,MALE,Qatar,Doha,37,493792,hyundai,SUV KONA,Overhead Camshaft,Auto,White,2020,25000
1167,HUN-MID-817,26/01/2020,Amr Soliman,MALE,Egypt,Giza,44,327393,hyundai,SUV KONA,Overhead Camshaft,Auto,Blue,2020,25000
1168,HUN-MID-818,30/01/2020,Khalid Al-Thani,MALE,Saudi Arabia,Jeddah,45,124932,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Black,2020,60350
1169,HUN-MID-814,30/01/2020,Huda Al-Suwaidi,FEMALE,Oman,Sur,41,446988,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,White,2020,62300
1170,HUN-MID-818,30/01/2020,Yacine Bensalem,MALE,Bahrain,Muharraq,54,277193,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Black,2020,60350
1171,HUN-MID-819,30/01/2020,Shaikha Al-Tamimi,FEMALE,Morocco,Fes,35,299938,hyundai,SUV CRETA,Overhead Camshaft,Auto,Red,2020,45300
1172,HUN-MID-814,30/01/2020,Ziad Al-Masri,MALE,Jordan,Jerash,50,147429,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Blue,2020,62300
1173,HUN-MID-814,01/02/2020,Haya Al-Kandari,FEMALE,Jordan,Zarqa,53,140445,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,White,2020,62300
1174,HUN-MID-813,01/02/2020,Haya Al-Kandari,FEMALE,Tunisia,Tunis,53,378309,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Grey,2020,25000
1175,HUN-MID-819,02/02/2020,Nasser Al-Mohannadi,MALE,Jordan,Jerash,50,198960,hyundai,SUV CRETA,Overhead Camshaft,Auto,Blue,2020,45300
1176,HUN-MID-818,02/02/2020,Reem Al-Zaabi,FEMALE,Morocco,Marrakesh,36,173070,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Black,2020,60350
1177,HUN-MID-815,02/02/2020,Amine Belhadj,MALE,Saudi Arabia,Jeddah,40,91799,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Grey,2020,21100
1178,HUN-MID-814,02/02/2020,Salma Al-Mansoori,FEMALE,Oman,Muscat,44,119150,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Grey,2020,62300
1179,HUN-MID-818,02/02/2020,Fatima Al-Mansouri,FEMALE,Algeria,Setif,37,288574,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1180,HUN-MID-810,03/02/2020,Amr Kamal,MALE,Egypt,Qena,55,242586,hyundai,SEDAN i10,Overhead Camshaft,Auto,Black,2020,23100
1181,HUN-MID-818,03/02/2020,Hamad Al-Kuwari,MALE,Morocco,Tangier,39,131806,hyundai,SUV TUCSON,Overhead Camshaft,Auto,White,2020,60350
1182,HUN-MID-813,03/02/2020,Reem Al-Rashid,FEMALE,Kuwait,Fahaheel,37,247858,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1183,HUN-MID-812,03/02/2020,Maha Al-Dosari,FEMALE,United Arab Emirates,Dubai,44,391249,hyundai,SEDAN i30,Overhead Camshaft,Auto,White,2020,25100
1184,HUN-MID-811,03/02/2020,Khalid Al-Rashid,MALE,Saudi Arabia,Mecca,53,271901,hyundai,SEDAN i20,Overhead Camshaft,Auto,Red,2020,24500
1185,HUN-MID-810,05/02/2020,Reem Al-Zaabi,FEMALE,Qatar,Al Khor,36,190961,hyundai,SEDAN i10,Overhead Camshaft,Auto,Blue,2020,23100
1186,HUN-MID-813,05/02/2020,Saud Al-Qahtani,MALE,Algeria,Oran,42,111841,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1187,HUN-MID-817,05/02/2020,Majed Al-Sulaiti,MALE,Oman,Muscat,45,214940,hyundai,SUV KONA,Overhead Camshaft,Auto,Red,2020,25000
1188,HUN-MID-813,05/02/2020,Faisal Al-Mutawa,MALE,Saudi Arabia,Jeddah,38,228193,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1189,HUN-MID-811,05/02/2020,Sultan Al-Ghamdi,MALE,Saudi Arabia,Khobar,44,152943,hyundai,SEDAN i20,Overhead Camshaft,Auto,Black,2020,24500
1190,HUN-MID-812,06/02/2020,Firas Al-Khasawneh,MALE,Bahrain,Muharraq,37,248060,hyundai,SEDAN i30,Overhead Camshaft,Auto,Black,2020,25100
1191,HUN-MID-812,06/02/2020,Dana Al-Rumaithi,FEMALE,Morocco,Agadir,36,193198,hyundai,SEDAN i30,Overhead Camshaft,Auto,Blue,2020,25100
1192,HUN-MID-816,06/02/2020,Faisal Al-Dosari,MALE,Saudi Arabia,Jeddah,44,473479,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,White,2020,12800
1193,HUN-MID-817,06/02/2020,Salem Al-Qahtani,MALE,Algeria,Constantine,43,499218,hyundai,SUV KONA,Overhead Camshaft,Auto,Blue,2020,25000
1194,HUN-MID-813,06/02/2020,Yacine Bensalem,MALE,Kuwait,Kuwait City,54,124701,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1195,HUN-MID-811,06/02/2020,Nadia Bouzid,FEMALE,Morocco,Rabat,55,468333,hyundai,SEDAN i20,Overhead Camshaft,Auto,Grey,2020,24500
1196,HUN-MID-819,06/02/2020,Salim Al-Rashidi,MALE,Qatar,Al Rayyan,52,451360,hyundai,SUV CRETA,Overhead Camshaft,Auto,Red,2020,45300
1197,HUN-MID-810,06/02/2020,Hicham El-Amrani,MALE,Oman,Nizwa,44,112190,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1198,HUN-MID-813,06/02/2020,Salim Al-Shukaili,MALE,Morocco,Marrakesh,35,280042,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1199,HUN-MID-812,07/02/2020,Khadija El-Filali,FEMALE,Oman,Muscat,42,330918,hyundai,SEDAN i30,Overhead Camshaft,Auto,Red,2020,25100
1200,HUN-MID-819,07/02/2020,Salwa Al-Lawati,FEMALE,Oman,Muscat,35,392576,hyundai,SUV CRETA,Overhead Camshaft,Auto,Grey,2020,45300
1201,HUN-MID-818,07/02/2020,Abdulrahman Al-Shehri,MALE,Saudi Arabia,Riyadh,43,392062,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Red,2020,60350
1202,HUN-MID-813,07/02/2020,Salem Al-Harbi,MALE,Jordan,Amman,48,213779,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Red,2020,25000
1203,HUN-MID-811,10/02/2020,Adel Ghoneim,MALE,Egypt,Sharkia,39,467986,hyundai,SEDAN i20,Overhead Camshaft,Auto,Red,2020,24500
1204,HUN-MID-811,17/02/2020,Faisal Al-Faisal,MALE,Qatar,Al Wakrah,45,333500,hyundai,SEDAN i20,Overhead Camshaft,Auto,Grey,2020,24500
1205,HUN-MID-819,17/02/2020,Saad Al-Mohannadi,MALE,Oman,Muscat,45,64024,hyundai,SUV CRETA,Overhead Camshaft,Auto,White,2020,45300
1206,HUN-MID-815,17/02/2020,Ibrahim Al-Majali,MALE,Morocco,Agadir,51,251484,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1207,HUN-MID-814,17/02/2020,Latifa Al-Binali,FEMALE,Saudi Arabia,Riyadh,39,158523,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Blue,2020,62300
1208,HUN-MID-816,20/02/2020,Ehab Ahmed,MALE,Egypt,Cairo,43,186451,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Blue,2020,12800
1209,HUN-MID-814,21/02/2020,Yacine Ben Salah,MALE,Saudi Arabia,Riyadh,36,281805,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Black,2020,62300
1210,HUN-MID-810,21/02/2020,Abdullah Al-Mohannadi,MALE,Qatar,Al Wakrah,35,438083,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1211,HUN-MID-813,21/02/2020,Khalid Al-Harbi,MALE,Saudi Arabia,Medina,37,469734,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Red,2020,25000
1212,HUN-MID-813,22/02/2020,Noura Al-Harthy,FEMALE,Saudi Arabia,Mecca,35,415314,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1213,HUN-MID-818,22/02/2020,Fahad Al-Obaidly,MALE,Jordan,Irbid,49,443782,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1214,HUN-MID-812,22/02/2020,Mohammad Al-Khatib,MALE,Kuwait,Kuwait City,50,140952,hyundai,SEDAN i30,Overhead Camshaft,Auto,Blue,2020,25100
1215,HUN-MID-814,22/02/2020,Turki Al-Otaibi,MALE,Bahrain,Manama,43,258284,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Red,2020,62300
1216,HUN-MID-812,22/02/2020,Nasser Al-Mohannadi,MALE,Morocco,Tangier,50,369578,hyundai,SEDAN i30,Overhead Camshaft,Auto,Grey,2020,25100
1217,HUN-MID-818,28/02/2020,Bader Al-Sabah,MALE,Bahrain,Hamad Town,48,228504,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Red,2020,60350
1218,HUN-MID-819,28/02/2020,Salma Al-Zadjali,FEMALE,Bahrain,Riffa,36,465812,hyundai,SUV CRETA,Overhead Camshaft,Auto,Grey,2020,45300
1219,HUN-MID-817,28/02/2020,Jassim Al-Kuwari,MALE,United Arab Emirates,Dubai,45,340722,hyundai,SUV KONA,Overhead Camshaft,Auto,Black,2020,25000
1220,HUN-MID-814,28/02/2020,Khadija El-Filali,FEMALE,Morocco,Rabat,42,229682,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Red,2020,62300
1221,HUN-MID-812,28/02/2020,Amina Al-Shehhi,FEMALE,United Arab Emirates,Dubai,38,348804,hyundai,SEDAN i30,Overhead Camshaft,Auto,Grey,2020,25100
1222,HUN-MID-810,02/03/2020,Fady Ibrahim,MALE,Egypt,Qena,52,291183,hyundai,SEDAN i10,Overhead Camshaft,Auto,White,2020,23100
1223,HUN-MID-815,04/03/2020,Nasser Al-Harbi,MALE,Bahrain,Manama,49,314805,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,White,2020,21100
1224,HUN-MID-813,04/03/2020,Othman El-Mahdi,MALE,Saudi Arabia,Jeddah,42,75646,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,White,2020,25000
1225,HUN-MID-812,04/03/2020,Haya Al-Harbi,FEMALE,Tunisia,Sousse,49,107151,hyundai,SEDAN i30,Overhead Camshaft,Auto,Red,2020,25100
1226,HUN-MID-819,11/03/2020,Mostafa Farouk,MALE,Egypt,Cairo,41,298339,hyundai,SUV CRETA,Overhead Camshaft,Auto,Blue,2020,45300
1227,HUN-MID-811,17/03/2020,Hassan Al-Falasi,MALE,Algeria,Annaba,49,263149,hyundai,SEDAN i20,Overhead Camshaft,Auto,White,2020,24500
1228,HUN-MID-818,17/03/2020,Tariq Al-Zoubi,MALE,Qatar,Doha,55,192234,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1229,HUN-MID-814,17/03/2020,Lina Al-Fayez,FEMALE,Saudi Arabia,Dammam,38,338980,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Red,2020,62300
1230,HUN-MID-811,18/03/2020,Magdy Ali,MALE,Egypt,Cairo,43,497152,hyundai,SEDAN i20,Overhead Camshaft,Auto,Black,2020,24500
1231,HUN-MID-815,20/03/2020,Fahad Al-Misnad,MALE,Qatar,Al Rayyan,54,173705,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1232,HUN-MID-813,20/03/2020,Siham Ben Amar,FEMALE,Kuwait,Hawalli,46,320434,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Red,2020,25000
1233,HUN-MID-817,20/03/2020,Hamed Al-Harthy,MALE,Morocco,Casablanca,41,467878,hyundai,SUV KONA,Overhead Camshaft,Auto,Blue,2020,25000
1234,HUN-MID-810,21/03/2020,Mariam Al-Nuaimi,FEMALE,United Arab Emirates,Dubai,38,184307,hyundai,SEDAN i10,Overhead Camshaft,Auto,Red,2020,23100
1235,HUN-MID-815,21/03/2020,Bader Al-Hajeri,MALE,Qatar,Al Shamal,48,461322,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Black,2020,21100
1236,HUN-MID-815,21/03/2020,Amel Bouziane,FEMALE,United Arab Emirates,Fujairah,40,206295,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Blue,2020,21100
1237,HUN-MID-815,21/03/2020,Nasser Al-Kaabi,MALE,Tunisia,Tunis,50,226851,hyundai,SEDAN SONATA,,Auto,Red,2020,21100
1238,HUN-MID-810,21/03/2020,Firas Al-Khasawneh,MALE,United Arab Emirates,Sharjah,37,222214,hyundai,SEDAN i10,Overhead Camshaft,Auto,Grey,2020,23100
1239,HUN-MID-810,24/03/2020,Latifa Al-Binali,FEMALE,Saudi Arabia,Riyadh,39,171011,hyundai,SEDAN i10,Overhead Camshaft,Auto,Blue,2020,23100
1240,HUN-MID-817,24/03/2020,Salma El-Bouazzaoui,FEMALE,Jordan,Karak,38,396683,hyundai,SUV KONA,Overhead Camshaft,Auto,Black,2020,25000
1241,HUN-MID-811,24/03/2020,Sultan Al-Dosari,MALE,Jordan,Karak,43,221947,hyundai,SEDAN i20,Overhead Camshaft,Auto,Blue,2020,24500
1242,HUN-MID-810,02/04/2020,Fathi Gabr,MALE,Egypt,Giza,34,181038,hyundai,SEDAN i10,Overhead Camshaft,Auto,Grey,2020,23100
1243,HUN-MID-815,02/04/2020,Mohammed Ben Ahmed,MALE,Kuwait,Fahaheel,35,276663,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,White,2020,21100
1244,HUN-MID-812,02/04/2020,Noor Al-Misnad,FEMALE,Qatar,Al Rayyan,49,232829,hyundai,SEDAN i30,Overhead Camshaft,Auto,Red,2020,25100
1245,HUN-MID-813,02/04/2020,Faisal Al-Qahtani,MALE,Oman,Muscat,42,393974,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1246,HUN-MID-812,02/04/2020,Noura Al-Faisal,FEMALE,Qatar,Al Rayyan,51,140758,hyundai,SEDAN i30,Overhead Camshaft,Auto,Grey,2020,25100
1247,HUN-MID-810,16/04/2020,Youssef El-Alaoui,MALE,Saudi Arabia,Jeddah,44,221185,hyundai,SEDAN i10,Overhead Camshaft,Auto,White,2020,23100
1248,HUN-MID-812,16/04/2020,Tariq Al-Khasawneh,MALE,Bahrain,Muharraq,50,408645,hyundai,SEDAN i30,Overhead Camshaft,Auto,Blue,2020,25100
1249,HUN-MID-814,16/04/2020,Abdullah Al-Thani,MALE,Kuwait,Al Jahra,43,191365,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Red,2020,62300
1250,HUN-MID-812,18/04/2020,Nasser Al-Rashid,MALE,Tunisia,Tunis,37,191635,hyundai,SEDAN i30,Overhead Camshaft,Auto,Blue,2020,25100
1251,HUN-MID-816,18/04/2020,Abdulaziz Al-Faisal,MALE,Qatar,Doha,52,117574,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,White,2020,12800
1252,HUN-MID-818,18/04/2020,Nasser Al-Faisal,MALE,Algeria,Algiers,49,391851,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Red,2020,60350
1253,HUN-MID-818,20/04/2020,Ahmed Mohamed,MALE,Egypt,Cairo,34,101073,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1254,HUN-MID-815,21/04/2020,Latifa Al-Thani,FEMALE,Oman,Salalah,49,75583,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Grey,2020,21100
1255,HUN-MID-813,21/04/2020,Dina Al-Hussein,FEMALE,Tunisia,Tunis,55,417922,hyundai,SEDAN ELANTRA,Overhead Camshaft,Auto,Black,2020,25000
1256,HUN-MID-814,21/04/2020,Khalid Al-Harbi,MALE,Saudi Arabia,Riyadh,37,238864,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Blue,2020,62300
1257,HUN-MID-817,21/04/2020,Khalid Al-Harbi,MALE,Oman,Barka,52,90632,hyundai,SUV KONA,Overhead Camshaft,Auto,White,2020,25000
1258,HUN-MID-814,22/04/2020,Heba Rashed,FEMALE,Egypt,Cairo,36,74402,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Blue,2020,62300
1259,HUN-MID-816,22/04/2020,Youssef El-Fassi,MALE,Qatar,Al Rayyan,47,173233,hyundai,SEDAN ACCENT,Overhead Camshaft,Auto,Grey,2020,12800
1260,HUN-MID-814,22/04/2020,Bader Al-Sabah,MALE,Algeria,Algiers,48,349969,hyundai,SEDAN AZERA,Overhead Camshaft,Auto,Red,2020,62300
1261,HUN-MID-817,22/04/2020,Hassan Al-Emadi,MALE,Qatar,Doha,45,260379,hyundai,SUV KONA,Overhead Camshaft,Auto,Grey,2020,25000
1262,HUN-MID-818,22/04/2020,Tariq Al-Mutawa,MALE,Qatar,Doha,37,464559,hyundai,SUV TUCSON,Overhead Camshaft,Auto,Grey,2020,60350
1263,HUN-MID-811,22/04/2020,Hessa Al-Mansoori,FEMALE,Oman,Sohar,41,455977,hyundai,SEDAN i20,Overhead Camshaft,Auto,Blue,2020,24500
1264,HUN-MID-815,25/04/2020,Khalid Al-Rashid,MALE,United Arab Emirates,Ajman,51,167359,hyundai,SEDAN SONATA,Overhead Camshaft,Auto,Red,2020,21100
